size_rank,year,renter_income,owner_income,total_income
9,2023,57433,106078,86505
29,2023,65380,129560,98508
20,2023,54382,119996,94289
10,2023,66891,144876,110697
50,2023,41989,88085,69861
23,2023,55462,100548,81262
3,2023,55775,107302,87071
28,2023,46122,100518,77844
35,2023,39187,87901,67586
32,2023,50155,104003,77390
4,2023,60659,113948,86860
19,2023,69870,130198,103055
14,2023,43200,88896,72574
49,2023,48327,120316,92176
5,2023,51831,104775,79463
34,2023,51402,99214,77947
40,2023,52926,94437,77044
31,2023,51781,101164,79842
30,2023,54971,95390,75065
2,2023,67832,128258,91960
44,2023,41637,86232,64025
8,2023,57082,93389,76271
41,2023,46947,102529,77006
16,2023,56393,117257,95102
37,2023,58627,103418,84685
47,2023,36926,80958,61000
1,2023,62791,135107,95220
42,2023,44350,91633,69895
22,2023,57247,92012,77378
7,2023,52294,108810,86867
11,2023,61499,100999,85700
27,2023,42151,89571,72532
25,2023,62290,119483,94925
39,2023,48085,110915,83330
43,2023,62679,121340,96096
45,2023,55990,104474,84332
13,2023,61227,103423,87843
26,2023,62186,119553,94992
21,2023,46809,95533,78224
48,2023,64784,115304,94409
24,2023,50389,93313,73195
17,2023,77495,134511,103674
12,2023,88821,164577,127792
36,2023,112277,197963,153202
15,2023,77490,138178,110744
18,2023,55934,84870,72743
38,2023,51149,101556,79325
9,2024,61684,112125,92344
29,2024,70008,136933,99897
20,2024,59891,124651,98666
10,2024,73324,151604,117825
50,2024,43505,91223,72300
23,2024,59178,105301,85938
3,2024,56097,112314,90770
28,2024,47687,103472,81489
35,2024,42473,90589,72532
32,2024,52075,109644,82938
4,2024,63172,120757,92733
19,2024,72520,137487,108046
14,2024,45326,93533,76403
49,2024,51529,122344,94419
5,2024,52174,112026,81417
34,2024,51409,101460,80239
40,2024,56296,102758,82053
31,2024,52470,104079,83785
30,2024,56214,100828,80028
2,2024,72301,132458,96405
44,2024,45698,89696,68124
8,2024,60580,98210,80625
41,2024,48726,104020,77919
16,2024,57070,120625,97928
37,2024,60411,109931,88800
47,2024,40901,84624,62373
1,2024,66983,139307,99852
42,2024,47630,94890,72930
22,2024,61352,97971,81044
7,2024,54785,114919,90850
11,2024,66322,105016,90133
27,2024,45130,96065,77214
25,2024,68355,124237,98994
39,2024,49067,112535,82870
43,2024,64948,129154,102144
45,2024,54708,106239,83460
13,2024,63755,107891,91013
26,2024,65382,124197,98775
21,2024,48688,102522,81679
48,2024,65411,123176,100548
24,2024,51029,101264,78112
17,2024,81521,140452,109132
12,2024,93877,176786,135590
36,2024,122664,209671,164801
15,2024,79701,147465,112388
18,2024,55969,92499,78275
38,2024,54460,105603,82402
9,2019,47331,91012,71742
29,2019,54871,107308,80954
20,2019,48940,105195,83160
10,2019,56498,123364,94430
50,2019,32575,78345,60105
23,2019,44257,82209,66399
3,2019,44814,96850,75379
28,2019,37103,88843,66825
35,2019,33565,75846,57228
32,2019,43185,90682,67207
4,2019,50088,95113,72265
19,2019,57548,107023,85641
14,2019,36661,78317,63474
49,2019,40818,101022,77005
5,2019,44328,94438,69193
34,2019,38484,81431,62502
40,2019,42503,80345,65880
31,2019,42815,89403,70215
30,2019,44872,80737,62107
2,2019,56396,108689,77774
44,2019,34491,75192,54859
8,2019,44612,75471,60141
41,2019,39074,90293,65845
16,2019,46718,102595,83698
37,2019,46885,86824,70262
47,2019,33805,71524,55710
1,2019,55272,119208,83160
42,2019,37866,79042,60605
22,2019,45517,76144,61876
7,2019,42544,95946,74533
11,2019,48696,82972,67896
27,2019,36788,77814,62638
25,2019,51943,100690,78439
39,2019,37248,94873,70967
43,2019,46016,101654,80096
45,2019,41248,90050,68324
13,2019,48890,86257,70954
26,2019,50235,101895,76706
21,2019,37661,83966,66417
48,2019,50706,96271,80196
24,2019,42467,79534,62355
17,2019,60563,111101,83985
12,2019,84041,144997,114696
36,2019,96072,163951,130865
15,2019,62421,117259,94027
18,2019,41922,69326,57906
38,2019,46750,86696,69329
9,2021,50269,96644,77589
29,2021,56078,111809,86530
20,2021,50533,109410,86302
10,2021,59815,130230,100750
50,2021,33365,81246,62794
23,2021,47829,87909,71041
3,2021,47107,98952,78166
28,2021,38059,89157,70818
35,2021,36561,81458,62315
32,2021,47037,95451,71839
4,2021,51052,101372,75975
19,2021,59160,112041,90716
14,2021,39643,82026,67153
49,2021,42545,106638,82258
5,2021,44491,94993,70893
34,2021,44257,86253,70224
40,2021,46100,83022,68394
31,2021,45888,93014,73900
30,2021,43428,83624,63677
2,2021,59626,114209,82503
44,2021,37216,74969,55840
8,2021,46038,80036,63814
41,2021,41871,92691,68449
16,2021,50278,106500,87433
37,2021,48449,90055,72725
47,2021,33696,72624,56837
1,2021,55094,120061,84409
42,2021,38617,79249,61815
22,2021,47289,79325,64936
7,2021,46336,101789,80007
11,2021,51372,90256,75731
27,2021,36398,82619,66609
25,2021,55297,105628,83943
39,2021,39929,101807,73788
43,2021,50834,104945,85303
45,2021,44209,93949,74151
13,2021,53085,93007,77018
26,2021,54197,107921,84421
21,2021,40631,85410,70189
48,2021,52946,99734,81307
24,2021,43987,85863,66775
17,2021,66729,117007,91003
12,2021,80963,152603,116005
36,2021,104743,178544,139892
15,2021,66290,126465,101721
18,2021,45183,76555,62951
38,2021,45826,94417,72686
9,2022,55482,104027,84876
29,2022,66100,122713,94604
20,2022,52546,115672,90505
10,2022,63356,136320,104299
50,2022,38266,88357,68698
23,2022,51826,95401,77154
3,2022,50795,104124,82914
28,2022,41240,94951,75062
35,2022,37834,86343,65198
32,2022,48837,100816,75777
4,2022,56132,109119,82823
19,2022,66469,122306,98975
14,2022,41452,87271,71265
49,2022,45440,113895,85723
5,2022,50654,101502,74863
34,2022,44286,95240,75824
40,2022,52313,92317,77583
31,2022,48832,95437,75280
30,2022,50558,90527,70797
2,2022,64068,123329,87743
44,2022,41805,84613,64008
8,2022,52865,88023,70769
41,2022,42909,99303,70898
16,2022,52539,112909,91341
37,2022,53990,99299,80034
47,2022,37157,82497,61602
1,2022,60218,129889,91562
42,2022,41155,85835,66301
22,2022,52828,87718,71857
7,2022,50673,106659,84123
11,2022,60172,97336,82884
27,2022,41342,86584,70607
25,2022,60661,113862,89312
39,2022,45682,108753,81784
43,2022,57790,113686,92739
45,2022,48171,101855,81388
13,2022,58184,99368,82803
26,2022,59314,115207,89237
21,2022,43149,92953,74531
48,2022,58744,112784,91891
24,2022,45584,88853,70538
17,2022,72022,127700,98928
12,2022,88302,167377,128151
36,2022,109035,193443,148900
15,2022,72664,134826,106909
18,2022,51508,81246,69290
38,2022,48865,95977,74556
9,2020,46330,89903,71193
29,2020,54469,106572,80852
20,2020,49415,106012,83811
10,2020,55178,121157,93537
50,2020,32450,77461,59079
23,2020,44194,81243,65725
3,2020,45243,95171,74621
28,2020,36228,85895,66435
35,2020,33133,75505,57263
32,2020,42292,88385,66715
4,2020,49963,96415,72882
19,2020,54529,104803,83289
14,2020,36200,78335,62768
49,2020,40625,103658,78631
5,2020,44770,92989,69328
34,2020,38110,82502,63545
40,2020,42558,78653,63064
31,2020,42311,87369,69240
30,2020,44333,79161,61048
2,2020,54577,107350,76399
44,2020,33892,73890,53896
8,2020,43005,74980,59030
41,2020,37407,88321,63739
16,2020,46550,102107,82887
37,2020,45334,84852,68406
47,2020,32221,71620,54388
1,2020,53200,116518,81951
42,2020,37681,76783,60476
22,2020,45006,75248,61229
7,2020,43464,95865,74825
11,2020,47224,82472,67068
27,2020,35635,76636,61969
25,2020,51290,99552,77511
39,2020,38223,95265,70676
43,2020,48511,99930,78706
45,2020,43921,90395,71223
13,2020,46776,84431,68331
26,2020,49113,99630,75533
21,2020,37765,82827,65725
48,2020,49463,94360,77102
24,2020,41016,78376,61437
17,2020,58975,109762,82426
12,2020,81424,140486,110837
36,2020,98266,158215,129343
15,2020,61927,113985,90790
18,2020,41800,68661,57097
38,2020,45242,87425,68454
9,2016,41745,80432,62613
29,2016,49657,97198,71000
20,2016,46573,97090,76788
10,2016,48273,108319,82380
50,2016,29720,72166,53487
23,2016,39816,73771,59979
3,2016,40334,85614,66020
28,2016,33168,78401,60260
35,2016,30029,69109,52131
32,2016,37052,80304,60294
4,2016,43434,85419,63812
19,2016,47559,91006,71926
14,2016,32313,71364,56142
49,2016,38247,95904,72559
5,2016,40406,83696,61708
34,2016,34138,75161,56750
40,2016,40214,70446,56840
31,2016,37430,79398,61385
30,2016,39487,71177,54384
2,2016,46607,96118,65950
44,2016,30914,67766,49809
8,2016,37188,66719,51362
41,2016,34030,81455,58029
16,2016,41268,92064,73231
37,2016,41044,73965,60030
47,2016,29337,66663,48804
1,2016,46256,104163,71897
42,2016,33941,71992,55065
22,2016,39248,66186,52385
7,2016,38243,85555,65996
11,2016,41385,72511,58075
27,2016,32164,69825,56063
25,2016,43472,89894,68676
39,2016,33875,86701,61948
43,2016,45868,89350,71685
45,2016,37913,81110,62929
13,2016,40761,72361,58236
26,2016,41055,87438,64052
21,2016,35162,75995,59780
48,2016,43822,82934,68196
24,2016,37844,71451,56105
17,2016,51130,95929,70824
12,2016,70661,123004,96677
36,2016,80354,138284,110040
15,2016,52282,100837,78612
18,2016,38151,61102,51115
38,2016,41620,79933,61805
9,2017,43347,82106,65381
29,2017,50304,98445,73800
20,2017,44789,99862,77394
10,2017,47580,112698,85691
50,2017,29978,73179,55448
23,2017,40461,75904,61156
3,2017,41129,87756,68403
28,2017,34227,80907,61653
35,2017,30241,70845,52489
32,2017,39071,84233,63764
4,2017,45793,89583,67382
19,2017,50626,96666,76643
14,2017,34718,73955,58411
49,2017,37285,95913,71414
5,2017,41735,85824,63802
34,2017,35707,77696,59566
40,2017,39693,72462,58709
31,2017,39784,81370,63404
30,2017,42172,73347,57189
2,2017,49928,99981,69992
44,2017,32785,67055,50984
8,2017,39653,70160,54284
41,2017,35231,82469,59448
16,2017,44016,94759,76856
37,2017,43253,80096,63939
47,2017,30145,66564,50528
1,2017,48295,107419,75368
42,2017,35473,71229,56260
22,2017,40217,69216,55089
7,2017,36480,90744,68572
11,2017,42432,76490,61506
27,2017,31951,72435,58521
25,2017,47438,91168,71931
39,2017,34881,89574,65226
43,2017,46669,91520,72576
45,2017,41559,85747,67633
13,2017,42416,77893,61994
26,2017,44413,90379,67902
21,2017,35133,76930,61571
48,2017,45088,86978,71510
24,2017,37007,73737,56774
17,2017,54025,103280,76207
12,2017,73308,130960,101714
36,2017,87282,143871,117474
15,2017,55453,105726,82133
18,2017,39088,62507,52212
38,2017,41349,81290,64255
9,2018,44890,87992,69464
29,2018,51442,102743,76925
20,2018,46735,101889,80469
10,2018,51804,117048,88711
50,2018,32311,74701,56195
23,2018,42380,77787,62068
3,2018,42959,90772,70760
28,2018,36093,82233,62743
35,2018,31293,75579,56203
32,2018,40576,84225,64052
4,2018,47637,92287,69445
19,2018,51257,101182,79478
14,2018,35023,75370,60513
49,2018,38346,101814,77258
5,2018,42822,87491,65394
34,2018,37099,78850,61022
40,2018,41515,74083,60238
31,2018,40976,84415,65768
30,2018,41219,76966,57076
2,2018,52426,102279,72563
44,2018,30728,68413,50338
8,2018,41558,71339,56328
41,2018,35314,85081,60643
16,2018,43605,98709,79578
37,2018,43182,81901,65919
47,2018,30465,69138,50301
1,2018,50654,112024,78478
42,2018,38464,72443,57485
22,2018,41780,72229,58610
7,2018,41267,90912,70747
11,2018,45812,79410,64427
27,2018,33201,74505,59710
25,2018,50801,95728,75599
39,2018,36331,88603,65083
43,2018,48449,95562,75165
45,2018,43835,85354,67703
13,2018,44299,80674,65671
26,2018,46426,97021,73142
21,2018,36184,80191,62790
48,2018,48521,91644,73730
24,2018,36959,75333,57379
17,2018,55238,105094,79079
12,2018,78527,138693,107898
36,2018,92176,154091,124696
15,2018,60812,110998,87910
18,2018,40276,66368,54912
38,2018,42636,85008,65604
9,2015,39625,76529,60219
29,2015,45233,90060,67195
20,2015,44716,92134,72520
10,2015,44701,104430,78800
50,2015,25733,70136,51772
23,2015,35684,70025,54836
3,2015,37450,83321,63153
28,2015,31433,75320,56826
35,2015,29126,68000,51049
32,2015,35360,78019,58192
4,2015,41108,82217,61644
19,2015,46076,88797,70283
14,2015,30835,68506,53628
49,2015,37988,95526,72275
5,2015,39498,84964,61465
34,2015,31712,72773,54322
40,2015,36818,66761,53221
31,2015,36791,76579,60502
30,2015,37037,68794,51552
2,2015,43980,92058,62544
44,2015,30393,65527,48524
8,2015,35667,64692,50441
41,2015,33110,78386,56247
16,2015,38685,89270,71008
37,2015,36516,71889,57985
47,2015,30198,64592,48343
1,2015,43593,100951,68743
42,2015,33794,66759,52221
22,2015,36799,63654,51077
7,2015,37058,83472,65123
11,2015,38629,70612,55547
27,2015,30034,67948,54080
25,2015,41268,81945,63850
39,2015,32166,82479,58965
43,2015,41403,83727,65778
45,2015,37944,78047,60713
13,2015,37484,70822,56087
26,2015,38746,84670,62813
21,2015,32761,71496,56483
48,2015,40372,80920,65792
24,2015,38109,69400,55083
17,2015,49741,91082,67320
12,2015,61771,116607,88518
36,2015,75436,130390,101980
15,2015,50444,96038,75331
18,2015,36004,59059,48911
38,2015,39462,76737,60093
